t,state,reason,active,lin,ang,nav_wants,x,y,stuck_s,rear_gap,front_gap,side_clear,nearest,guard_blocked,obstacle_mapped,near_mapped
0.211,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,0
0.3,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,0
0.4,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,0
0.5,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,0
0.6,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,0
0.7,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,0
0.8,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,0
0.9,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,1
1.0,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.0,0.0,0.0,0.0,0,0,1
1.1,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.2,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.3,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.4,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.5,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.6,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.7,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.8,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
1.9,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.0,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.1,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.2,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.3,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.4,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.5,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.6,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.7,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
2.8,monitoring,,0,0.0,0.0,0,0.0,-0.0,,0.749,5.95,0.739,1.0,0,0,1
